test,0,url,timestamp,,
2 pokoje pod klucz Praga-Południe,311650,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-pod-klucz-praga+poludnie/1007306105590911355524009,2020-05-16 13:36,,
2 pokoje wykończone pod klucz,406250,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-wykonczone-pod-klucz/1007306117560911355524009,2020-05-16 13:36,,
Okazja! 2 pokoje przy Balatonie, klucze w tym roku,389000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/okazja-2-pokoje-przy-balatonie-klucze-w-tym-roku/1007306105340911355524009,2020-05-16 13:36,
"Gocław, 2 pokoje do własnej aranżacji",473000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/goclaw-2-pokoje-do-wlasnej-aranzacji/1007306118040911355524009,2020-05-16 13:36,,
Ładne 2-pokojowe na Saskiej Kępie ul. Zwyciężców,2600,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/ladne-2+pokojowe-na-saskiej-kepie-ul-zwyciezcow/1007306031960911355524009,2020-05-16 13:36,,
2 pokoje przy Jeziorku Gocławskim.,380000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-przy-jeziorku-goclawskim/1007306031920911355524009,2020-05-16 13:36,,
"Praga południe, 3 pokoje , 49m2, 10m2 balkon ODDANE",485000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/praga-poludnie-3-pokoje-49m2-10m2-balkon-oddane/1007306081460911355524009,2020-05-16 13:36,,
"Dwa pokoje + widna kuchnia, 4 piętro, balkon",515000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/dwa-pokoje-%252B-widna-kuchnia-4-pietro-balkon/1007306029840911355524009,2020-05-16 13:36,,
"Dwupokojowe mieszkanie z balkonem, Gocław",473000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/dwupokojowe-mieszkanie-z-balkonem-goclaw/1007306010920911355524009,2020-05-16 13:36,,
2 pokoje z balkonem!,460000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-z-balkonem/1007306007800912407250109,2020-05-16 13:36,,
2 pokoje do własnej aranżacji na Gocławiu,492264,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2-pokoje-do-wlasnej-aranzacji-na-goclawiu/1007306007790911355524009,2020-05-16 13:36,,
3 pokoje na Saskiej Kępie!,490000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/3-pokoje-na-saskiej-kepie/1007306007730912407250109,2020-05-16 13:36,,
"2-pokojowe, bardzo dobry stan, Praga!",520500,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/praga-poludnie/2+pokojowe-bardzo-dobry-stan-praga/1007305850720912407250109,2020-05-16 12:36,,
