a,b,c,d,0
Ciche 3 pokoje przy metrze!!!,479950,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/ciche-3-pokoje-przy-metrze/1008217265800912407250109,2020-10-15 15:45,0
Mieszkanie 2 pokojowe po generalnym remoncie!,515000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/mieszkanie-2-pokojowe-po-generalnym-remoncie/1008217265570912407250109,2020-10-15 07:45,0
1-pokojowe na Bielanach,420000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1+pokojowe-na-bielanach/1008217265370912407250109,2020-10-15 00:45,0
2 pokojowe obok Metra Wawrzyszew- Bielany!,409900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-obok-metra-wawrzyszew+-bielany/1008217149180912407250109,2020-10-15 20:45,0
"1 piętro, balkon, Metro Słodowiec!",523999,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1-pietro-balkon-metro-slodowiec/1008217150210912407250109,2020-10-15 20:45,0
Ciche 3 pokoje z balkonem!,519950,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/ciche-3-pokoje-z-balkonem/1008217040530912407250109,2020-10-15 20:45,0
1 pok Broniewskiego / Krasińskiego,319000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/1-pok-broniewskiego-krasinskiego/1008217019580912407250109,2020-10-15 20:45,0
2 pokojowe mieszkanie po remoncie OKAZJA!,469000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pokojowe-mieszkanie-po-remoncie-okazja/1008217019350912407250109,2020-10-15 20:45,0
2-pokojowe blisko Lasu.,480000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-blisko-lasu/1008216918210912407250109,2020-10-15 19:45,0
JASNE 2-POKOJOWE MIESZKANIE Z BALKONEM,385000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/jasne-2+pokojowe-mieszkanie-z-balkonem/1008216766320912407250109,2020-10-15 19:45,0
3 pokoje przy AWF !!! BIELANY !!,495000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-przy-awf-bielany/1008216728040912407250109,2020-10-15 18:45,0
2-pokojowe na Bielanach !,399000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2+pokojowe-na-bielanach/1008216728000912407250109,2020-10-15 18:45,0
3 Pokoje ★ Metro ★ UKSW ★ AWF,495000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-metro-uksw-awf/1008216598380911366864809,2020-10-15 18:45,0
2 / 3 pokoje do własnej aranżacji,359000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-3-pokoje-do-wlasnej-aranzacji/1008216149990912407250109,2020-10-15 17:45,0
2 pok Bielany blisko Metra,435000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/2-pok-bielany-blisko-metra/1008216277090912407250109,2020-10-15 17:45,0
3 pokoje na bliskich Bielanach,450000,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/3-pokoje-na-bliskich-bielanach/1008215927890912407250109,2020-10-15 16:45,0
M4! 3 pokoje! Widna kuchnia!,449900,https://www.gumtree.pl/a-mieszkania-i-domy-sprzedam-i-kupie/bielany/m4-3-pokoje-widna-kuchnia/1008215818400912407250109,2020-10-15 16:45,0
